task,model,status,train_accuracy,train_balanced_accuracy,train_precision_macro,train_recall_macro,train_f1_macro,train_precision_weighted,train_recall_weighted,train_f1_weighted,test_accuracy,test_balanced_accuracy,test_precision_macro,test_recall_macro,test_f1_macro,test_precision_weighted,test_recall_weighted,test_f1_weighted,accuracy,balanced_accuracy,f1_macro,f1_weighted,metric_family,train_R2,train_RMSE,train_MAE,test_R2,test_RMSE,test_MAE,R2,RMSE,MAE,parameter,Pearson_r
future_burden_all_models,Hybrid Type I: feature concatenation,ok,,,,,,,,,,,,,,,,,,,,,FULL_future_burden_all_models,0.9990455089348931,0.0029502813239310173,0.0017028624452096143,0.9959913107330948,0.006696508893689875,0.004127428565385422,0.9959913107330948,0.006696508893689875,0.004127428565385422,,
future_burden_all_models,Hybrid Type IV/V: biology-informed residual-dynamics proxy,ok,,,,,,,,,,,,,,,,,,,,,FULL_future_burden_all_models,0.9938253304896898,0.007503853648832944,0.005507413233952784,0.9362434519606925,0.02670604957590697,0.01933164228418713,0.9362434519606925,0.02670604957590697,0.01933164228418713,,
future_burden_all_models,Hybrid Type II: MM prediction + AI residual correction,ok,,,,,,,,,,,,,,,,,,,,,FULL_future_burden_all_models,0.9997968586323532,0.0013610581561392689,0.00064174149462442,0.9970782445617321,0.0057170130539318555,0.0035210277216782184,0.9970782445617321,0.0057170130539318555,0.0035210277216782184,,
future_burden_all_models,Hybrid Type III: AI-inferred parameters -> MM surrogate,"failed: The feature names should match those that were passed during fit.
Feature names unseen at fit time:
- theta_hat_barrier
- theta_hat_cytotoxic_gain
- theta_hat_decay
- theta_hat_diffusion
- theta_hat_ecm_density
- ...
Feature names seen at fit time, yet now missing:
- barrier
- cytotoxic_gain
- decay
- diffusion
- ecm_density
- ...
",,,,,,,,,,,,,,,,,,,,,FULL_future_burden_all_models,,,,,,,,,,,
future_burden_all_models,Hybrid Type III+: parameterized MM + AI residual,"failed: The feature names should match those that were passed during fit.
Feature names unseen at fit time:
- theta_hat_barrier
- theta_hat_cytotoxic_gain
- theta_hat_decay
- theta_hat_diffusion
- theta_hat_ecm_density
- ...
Feature names seen at fit time, yet now missing:
- barrier
- cytotoxic_gain
- decay
- diffusion
- ecm_density
- ...
",,,,,,,,,,,,,,,,,,,,,FULL_future_burden_all_models,,,,,,,,,,,
future_burden_all_models,Hybrid Type VII: simulator surrogate with true parameters (oracle diagnostic),"failed: The feature names should match those that were passed during fit.
Feature names unseen at fit time:
- theta_hat_barrier
- theta_hat_cytotoxic_gain
- theta_hat_decay
- theta_hat_diffusion
- theta_hat_ecm_density
- ...
Feature names seen at fit time, yet now missing:
- barrier
- cytotoxic_gain
- decay
- diffusion
- ecm_density
- ...
",,,,,,,,,,,,,,,,,,,,,FULL_future_burden_all_models,,,,,,,,,,,
future_burden_all_models,Hybrid Type V: Neural-ODE learned residual dynamics,ok,,,,,,,,,,,,,,,,,,,,,FULL_future_burden_all_models,0.4100092194635291,0.07334999845081054,0.05144512177167911,-11.846958133423145,0.37909443376343294,0.2798485339087029,-11.846958133423145,0.37909443376343294,0.2798485339087029,,
future_burden_all_models,Hybrid Type IV: reduced state-space PINN,ok,,,,,,,,,,,,,,,,,,,,,FULL_future_burden_all_models,-0.4635977291561366,0.11552829392192858,0.10949089442809791,-60.399271811596726,0.8287601561654858,0.6394205055288144,-60.399271811596726,0.8287601561654858,0.6394205055288144,,
best_intervention_all_models,Pure ML: pseudo-bulk marker modules,ok,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.38,0.17272727272727273,0.08636363636363636,0.17272727272727273,0.11515151515151516,0.19,0.38,0.25333333333333335,0.38,0.17272727272727273,0.11515151515151516,0.25333333333333335,FULL_best_intervention_all_models,,,,,,,,,,,
best_intervention_all_models,Pure ML: RNAseq-like gene features,ok,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.42,0.19090909090909092,0.08571428571428572,0.19090909090909092,0.11830985915492957,0.18857142857142858,0.42,0.26028169014084507,0.42,0.19090909090909092,0.11830985915492957,0.26028169014084507,FULL_best_intervention_all_models,,,,,,,,,,,
best_intervention_all_models,Pure ML: bulk + spatial marker modules,ok,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.42,0.19610389610389609,0.1475609756097561,0.19610389610389609,0.1492063492063492,0.2846341463414634,0.42,0.31047619047619046,0.42,0.19610389610389609,0.1492063492063492,0.31047619047619046,FULL_best_intervention_all_models,,,,,,,,,,,
best_intervention_all_models,Mechanistic virtual-cell summaries,ok,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.42,0.2448051948051948,0.23524475524475524,0.2448051948051948,0.23984952978056423,0.40738461538461546,0.42,0.4134620689655172,0.42,0.2448051948051948,0.23984952978056423,0.4134620689655172,FULL_best_intervention_all_models,,,,,,,,,,,
best_intervention_all_models,Hybrid Type I: feature concatenation,ok,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.1974025974025974,0.16944444444444445,0.1974025974025974,0.17178683385579935,0.31277777777777777,0.4,0.33429467084639497,0.4,0.1974025974025974,0.17178683385579935,0.33429467084639497,FULL_best_intervention_all_models,,,,,,,,,,,
best_intervention_all_models,Hybrid Type IV/V: biology-informed residual-dynamics proxy,ok,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.42,0.19090909090909092,0.0875,0.19090909090909092,0.12,0.1925,0.42,0.264,0.42,0.19090909090909092,0.12,0.264,FULL_best_intervention_all_models,,,,,,,,,,,
best_intervention_all_models,Hybrid Type II: MM prediction + AI residual correction,ok,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.46,0.24502164502164506,0.24191919191919192,0.24502164502164506,0.23320158102766797,0.4111111111111111,0.46,0.4173913043478261,0.46,0.24502164502164506,0.23320158102766797,0.4173913043478261,FULL_best_intervention_all_models,,,,,,,,,,,
best_intervention_all_models,Hybrid Type III: AI-inferred parameters -> MM surrogate,"failed: The feature names should match those that were passed during fit.
Feature names unseen at fit time:
- theta_hat_barrier
- theta_hat_cytotoxic_gain
- theta_hat_decay
- theta_hat_diffusion
- theta_hat_ecm_density
- ...
Feature names seen at fit time, yet now missing:
- barrier
- cytotoxic_gain
- decay
- diffusion
- ecm_density
- ...
",,,,,,,,,,,,,,,,,,,,,FULL_best_intervention_all_models,,,,,,,,,,,
best_intervention_all_models,Hybrid Type III+: parameterized MM + AI residual,"failed: The feature names should match those that were passed during fit.
Feature names unseen at fit time:
- theta_hat_barrier
- theta_hat_cytotoxic_gain
- theta_hat_decay
- theta_hat_diffusion
- theta_hat_ecm_density
- ...
Feature names seen at fit time, yet now missing:
- barrier
- cytotoxic_gain
- decay
- diffusion
- ecm_density
- ...
",,,,,,,,,,,,,,,,,,,,,FULL_best_intervention_all_models,,,,,,,,,,,
best_intervention_all_models,Hybrid Type VII: simulator surrogate with true parameters (oracle diagnostic),"failed: The feature names should match those that were passed during fit.
Feature names unseen at fit time:
- theta_hat_barrier
- theta_hat_cytotoxic_gain
- theta_hat_decay
- theta_hat_diffusion
- theta_hat_ecm_density
- ...
Feature names seen at fit time, yet now missing:
- barrier
- cytotoxic_gain
- decay
- diffusion
- ecm_density
- ...
",,,,,,,,,,,,,,,,,,,,,FULL_best_intervention_all_models,,,,,,,,,,,
best_intervention_all_models,Hybrid Type V: Neural-ODE learned residual dynamics,ok,0.98,0.9890842490842491,0.9513194444444444,0.9890842490842491,0.9679000750244124,0.9814143518518519,0.98,0.9802996387047626,0.3,0.14155844155844155,0.1576923076923077,0.14155844155844155,0.1388888888888889,0.3069230769230769,0.3,0.2877777777777778,0.3,0.14155844155844155,0.1388888888888889,0.2877777777777778,FULL_best_intervention_all_models,,,,,,,,,,,
best_intervention_all_models,Hybrid Type IV: reduced state-space PINN,ok,0.7866666666666666,0.8671794871794871,0.7046447419361412,0.8671794871794871,0.7566678792257571,0.8063118840461588,0.7866666666666666,0.7904150658665806,0.3,0.1958874458874459,0.2606060606060606,0.1958874458874459,0.16789505400268853,0.48484848484848486,0.3,0.2777546006582302,0.3,0.1958874458874459,0.16789505400268853,0.2777546006582302,FULL_best_intervention_all_models,,,,,,,,,,,
parameter_recovery_all_models,Pure ML: pseudo-bulk marker modules,ok,,,,,,,,,,,,,,,,,,,,,FULL_parameter_recovery_all_models,0.8342814670497415,0.08861959726801008,0.06926166714573233,-0.09583297855412054,0.23280532309965316,0.1961128871695999,-0.09583297855412054,0.23280532309965316,0.1961128871695999,barrier,0.04293768754143726
parameter_recovery_all_models,Pure ML: pseudo-bulk marker modules,ok,,,,,,,,,,,,,,,,,,,,,FULL_parameter_recovery_all_models,0.8355677157712755,0.08831361556870873,0.0693566190514321,-0.06230402828903747,0.23013290533866054,0.19529310841302483,-0.06230402828903747,0.23013290533866054,0.19529310841302483,ecm_density,0.08587611311609299
parameter_recovery_all_models,Pure ML: pseudo-bulk marker modules,ok,,,,,,,,,,,,,,,,,,,,,FULL_parameter_recovery_all_models,0.8400279017498098,0.007709215258328751,0.006064405736599053,0.10096431232918812,0.018591635929663102,0.01471316492265179,0.10096431232918812,0.018591635929663102,0.01471316492265179,repair_rate,0.333845591018036
parameter_recovery_all_models,Pure ML: pseudo-bulk marker modules,ok,,,,,,,,,,,,,,,,,,,,,FULL_parameter_recovery_all_models,0.8293800025421564,0.009702187915133333,0.00725907950491087,0.006343433321934544,0.02274069696379934,0.018676527949236382,0.006343433321934544,0.02274069696379934,0.018676527949236382,diffusion,0.18864347061564582
parameter_recovery_all_models,Pure ML: pseudo-bulk marker modules,ok,,,,,,,,,,,,,,,,,,,,,FULL_parameter_recovery_all_models,0.8505108709456431,0.005974505310088589,0.0049508300183977675,0.23566724256497318,0.013705794106401287,0.011374457419378677,0.23566724256497318,0.013705794106401287,0.011374457419378677,decay,0.523299735009187
parameter_recovery_all_models,Pure ML: pseudo-bulk marker modules,ok,,,,,,,,,,,,,,,,,,,,,FULL_parameter_recovery_all_models,0.822958952079259,0.0038823047010685145,0.0028494971211837474,-0.12979526916810458,0.009388919078168736,0.0074751592560271755,-0.12979526916810458,0.009388919078168736,0.0074751592560271755,injury_amp,0.02631883912182465
parameter_recovery_all_models,Pure ML: pseudo-bulk marker modules,ok,,,,,,,,,,,,,,,,,,,,,FULL_parameter_recovery_all_models,0.8288037505227872,0.003149934323516149,0.0025256758276468363,-0.0563532950550476,0.008650124110206913,0.007421421697568031,-0.0563532950550476,0.008650124110206913,0.007421421697568031,persistent_injury,-0.022108949589821916
parameter_recovery_all_models,Pure ML: pseudo-bulk marker modules,ok,,,,,,,,,,,,,,,,,,,,,FULL_parameter_recovery_all_models,0.8682151051160835,0.0095583548288452,0.007767447009012761,0.045865181589247905,0.02363241640918313,0.019493498319609462,0.045865181589247905,0.02363241640918313,0.019493498319609462,recruitment_rate,0.2932742800656245
parameter_recovery_all_models,Pure ML: pseudo-bulk marker modules,ok,,,,,,,,,,,,,,,,,,,,,FULL_parameter_recovery_all_models,0.8741971961790638,0.1381971943308265,0.10835733520541467,0.22774375596442675,0.32836675518847536,0.25753376636525344,0.22774375596442675,0.32836675518847536,0.25753376636525344,nfkb_gain,0.4836059319009095
parameter_recovery_all_models,Pure ML: pseudo-bulk marker modules,ok,,,,,,,,,,,,,,,,,,,,,FULL_parameter_recovery_all_models,0.8799169812920028,0.12136684954909971,0.09908601408306864,0.1916492078141253,0.3067093089449556,0.24745077600088503,0.1916492078141253,0.3067093089449556,0.24745077600088503,stat3_gain,0.4386778452300526
parameter_recovery_all_models,Pure ML: pseudo-bulk marker modules,ok,,,,,,,,,,,,,,,,,,,,,FULL_parameter_recovery_all_models,0.8596854084620038,0.11065441013738272,0.08586293320339848,0.0538519576632438,0.2945235473953844,0.24221560791641125,0.0538519576632438,0.2945235473953844,0.24221560791641125,ifng_gain,0.34902240745021246
parameter_recovery_all_models,Pure ML: pseudo-bulk marker modules,ok,,,,,,,,,,,,,,,,,,,,,FULL_parameter_recovery_all_models,0.8679784036139958,0.11455584379645778,0.09522309562231951,0.1681492127564368,0.2996638883112792,0.2427571933306492,0.1681492127564368,0.2996638883112792,0.2427571933306492,tgfb_gain,0.41650922673887125
parameter_recovery_all_models,Pure ML: pseudo-bulk marker modules,ok,,,,,,,,,,,,,,,,,,,,,FULL_parameter_recovery_all_models,0.84506639499807,0.11859072791434445,0.09439408408049386,0.042908680217274564,0.32465152224586535,0.28508659309970097,0.042908680217274564,0.32465152224586535,0.28508659309970097,exhaustion_gain,0.24392751500913734
parameter_recovery_all_models,Pure ML: pseudo-bulk marker modules,ok,,,,,,,,,,,,,,,,,,,,,FULL_parameter_recovery_all_models,0.854165476776668,0.0860288291589536,0.06371067745819477,-0.12072918949798317,0.2609307965095952,0.1965340674410495,-0.12072918949798317,0.2609307965095952,0.1965340674410495,cytotoxic_gain,0.12410779251581694
parameter_recovery_all_models,Pure ML: pseudo-bulk marker modules,ok,,,,,,,,,,,,,,,,,,,,,FULL_parameter_recovery_all_models,0.8523882538822822,0.08287443820034161,0.06630176030226967,-0.14549778118679857,0.23608803748447568,0.1929008000531286,-0.14549778118679857,0.23608803748447568,0.1929008000531286,migration_gain,0.048434841281303515
parameter_recovery_all_models,Pure ML: RNAseq-like gene features,ok,,,,,,,,,,,,,,,,,,,,,FULL_parameter_recovery_all_models,0.830394438116131,0.08965288654399024,0.07004078579958779,-0.0644081280648714,0.2294430009529451,0.1864100034604402,-0.0644081280648714,0.2294430009529451,0.1864100034604402,barrier,-0.07007324282753744
parameter_recovery_all_models,Pure ML: RNAseq-like gene features,ok,,,,,,,,,,,,,,,,,,,,,FULL_parameter_recovery_all_models,0.8284754087715389,0.09019808492526464,0.0708765659214803,-0.0686283346298393,0.23081692384568542,0.18865818974845486,-0.0686283346298393,0.23081692384568542,0.18865818974845486,ecm_density,-0.07081121247205477
parameter_recovery_all_models,Pure ML: RNAseq-like gene features,ok,,,,,,,,,,,,,,,,,,,,,FULL_parameter_recovery_all_models,0.8365469391204035,0.007792639410797549,0.0062849867603855004,0.006108230547363203,0.019547836032704286,0.0159228708401157,0.006108230547363203,0.019547836032704286,0.0159228708401157,repair_rate,0.12040451037076476
parameter_recovery_all_models,Pure ML: RNAseq-like gene features,ok,,,,,,,,,,,,,,,,,,,,,FULL_parameter_recovery_all_models,0.8425867777287104,0.009319128944186454,0.007121607678232692,-0.10523228034291154,0.023983490959308504,0.01907315547267558,-0.10523228034291154,0.023983490959308504,0.01907315547267558,diffusion,-0.19479633794494836
parameter_recovery_all_models,Pure ML: RNAseq-like gene features,ok,,,,,,,,,,,,,,,,,,,,,FULL_parameter_recovery_all_models,0.845019826772385,0.00608324372261089,0.005038959874941654,0.15626969672444857,0.014400076216231544,0.012205508740348328,0.15626969672444857,0.014400076216231544,0.012205508740348328,decay,0.49083668802193225
parameter_recovery_all_models,Pure ML: RNAseq-like gene features,ok,,,,,,,,,,,,,,,,,,,,,FULL_parameter_recovery_all_models,0.8323363505287875,0.0037780881755576823,0.00285531694088562,-0.17241346793159695,0.0095643645120211,0.007706380845214284,-0.17241346793159695,0.0095643645120211,0.007706380845214284,injury_amp,-0.22691273572128146
parameter_recovery_all_models,Pure ML: RNAseq-like gene features,ok,,,,,,,,,,,,,,,,,,,,,FULL_parameter_recovery_all_models,0.8395226763035352,0.0030497287384244932,0.0025155563423365905,-0.010302047960355498,0.008459473994429315,0.007253106218554136,-0.010302047960355498,0.008459473994429315,0.007253106218554136,persistent_injury,0.06162930028278357
parameter_recovery_all_models,Pure ML: RNAseq-like gene features,ok,,,,,,,,,,,,,,,,,,,,,FULL_parameter_recovery_all_models,0.8560404493193802,0.009990116953765869,0.008144109020005764,0.08137752279389387,0.02318845385693753,0.019329630334584992,0.08137752279389387,0.02318845385693753,0.019329630334584992,recruitment_rate,0.2936334908037843
parameter_recovery_all_models,Pure ML: RNAseq-like gene features,ok,,,,,,,,,,,,,,,,,,,,,FULL_parameter_recovery_all_models,0.8497759434117349,0.15101629407079512,0.121295808198763,0.0606382697036707,0.3621553445225949,0.28458558048115096,0.0606382697036707,0.3621553445225949,0.28458558048115096,nfkb_gain,0.25726317688577
parameter_recovery_all_models,Pure ML: RNAseq-like gene features,ok,,,,,,,,,,,,,,,,,,,,,FULL_parameter_recovery_all_models,0.8597718370366341,0.13115259938273355,0.10686038361833303,0.016983413089181165,0.338226355772828,0.2801251068763147,0.016983413089181165,0.338226355772828,0.2801251068763147,stat3_gain,0.20407676779052497
parameter_recovery_all_models,Pure ML: RNAseq-like gene features,ok,,,,,,,,,,,,,,,,,,,,,FULL_parameter_recovery_all_models,0.8508388484349934,0.1140893676566246,0.08595845759837277,-0.0005838851850854532,0.3028776501564928,0.2443105043720787,-0.0005838851850854532,0.3028776501564928,0.2443105043720787,ifng_gain,0.20572412816509447
parameter_recovery_all_models,Pure ML: RNAseq-like gene features,ok,,,,,,,,,,,,,,,,,,,,,FULL_parameter_recovery_all_models,0.8533735319185458,0.12072603723715575,0.09968954268909631,0.07958277730967578,0.315212958180104,0.2627421044079401,0.07958277730967578,0.315212958180104,0.2627421044079401,tgfb_gain,0.2828555620007907
parameter_recovery_all_models,Pure ML: RNAseq-like gene features,ok,,,,,,,,,,,,,,,,,,,,,FULL_parameter_recovery_all_models,0.8503942480116994,0.11653384266888496,0.09768699392007667,-0.027262236986687283,0.3363422433380896,0.3005323680236753,-0.027262236986687283,0.3363422433380896,0.3005323680236753,exhaustion_gain,0.07203521711781213
parameter_recovery_all_models,Pure ML: RNAseq-like gene features,ok,,,,,,,,,,,,,,,,,,,,,FULL_parameter_recovery_all_models,0.8473037663184002,0.08802945269829038,0.06590129234089491,-0.11406231954170343,0.26015354072803887,0.20354620236633014,-0.11406231954170343,0.26015354072803887,0.20354620236633014,cytotoxic_gain,0.010808866145388011
parameter_recovery_all_models,Pure ML: RNAseq-like gene features,ok,,,,,,,,,,,,,,,,,,,,,FULL_parameter_recovery_all_models,0.8565334657134894,0.08170251816296589,0.06664004692125512,-0.11344261441078252,0.23276130066178835,0.195241011234894,-0.11344261441078252,0.23276130066178835,0.195241011234894,migration_gain,-0.04129812691092
parameter_recovery_all_models,Pure ML: bulk + spatial marker modules,ok,,,,,,,,,,,,,,,,,,,,,FULL_parameter_recovery_all_models,0.8352206545226756,0.08836812064144131,0.06854357337006661,-0.04302881279736237,0.22712705825418275,0.19080374870805572,-0.04302881279736237,0.22712705825418275,0.19080374870805572,barrier,0.09671704577820513
parameter_recovery_all_models,Pure ML: bulk + spatial marker modules,ok,,,,,,,,,,,,,,,,,,,,,FULL_parameter_recovery_all_models,0.8362283729408684,0.08813602347856822,0.0683233059461084,-0.01895502730818288,0.22538853168428394,0.19041338824878717,-0.01895502730818288,0.22538853168428394,0.19041338824878717,ecm_density,0.12741276957072717
parameter_recovery_all_models,Pure ML: bulk + spatial marker modules,ok,,,,,,,,,,,,,,,,,,,,,FULL_parameter_recovery_all_models,0.849235451103215,0.007484067020587753,0.0057792622168776776,0.23528397317622163,0.01714664816222517,0.013440241775584994,0.23528397317622163,0.01714664816222517,0.013440241775584994,repair_rate,0.5190751346559526
parameter_recovery_all_models,Pure ML: bulk + spatial marker modules,ok,,,,,,,,,,,,,,,,,,,,,FULL_parameter_recovery_all_models,0.8337054094008339,0.009578417820406679,0.007143139703993304,0.07878305580968403,0.021896090337655764,0.017725459327474494,0.07878305580968403,0.021896090337655764,0.017725459327474494,diffusion,0.2884949373841999
parameter_recovery_all_models,Pure ML: bulk + spatial marker modules,ok,,,,,,,,,,,,,,,,,,,,,FULL_parameter_recovery_all_models,0.9029041895739938,0.004815012192150738,0.003810912633354888,0.5385512191740108,0.010649389668239025,0.00898569327292452,0.5385512191740108,0.010649389668239025,0.00898569327292452,decay,0.774410279013015
parameter_recovery_all_models,Pure ML: bulk + spatial marker modules,ok,,,,,,,,,,,,,,,,,,,,,FULL_parameter_recovery_all_models,0.8274039121098277,0.003833258486716191,0.002846740178915294,-0.1155664731087438,0.009329609081777495,0.007403575408951598,-0.1155664731087438,0.009329609081777495,0.007403575408951598,injury_amp,0.032418530475839764
parameter_recovery_all_models,Pure ML: bulk + spatial marker modules,ok,,,,,,,,,,,,,,,,,,,,,FULL_parameter_recovery_all_models,0.8579488071140076,0.0028693056818276334,0.0023355707358156835,0.08615137994846545,0.008045533976159588,0.006906451350581211,0.08615137994846545,0.008045533976159588,0.006906451350581211,persistent_injury,0.2937872168149072
parameter_recovery_all_models,Pure ML: bulk + spatial marker modules,ok,,,,,,,,,,,,,,,,,,,,,FULL_parameter_recovery_all_models,0.8868619478477412,0.008856348136110003,0.007021781508844658,0.2232656641308094,0.021322568096144103,0.01817878179939049,0.2232656641308094,0.021322568096144103,0.01817878179939049,recruitment_rate,0.4844601106129941
parameter_recovery_all_models,Pure ML: bulk + spatial marker modules,ok,,,,,,,,,,,,,,,,,,,,,FULL_parameter_recovery_all_models,0.913661652388562,0.11448693589933011,0.0899144083749718,0.5321800286341014,0.25557469207456274,0.21640801156589706,0.5321800286341014,0.25557469207456274,0.21640801156589706,nfkb_gain,0.7658303952209922
parameter_recovery_all_models,Pure ML: bulk + spatial marker modules,ok,,,,,,,,,,,,,,,,,,,,,FULL_parameter_recovery_all_models,0.9048750108451145,0.1080206012645111,0.08795966131820454,0.5561286820636904,0.22727704004344326,0.19151699763021043,0.5561286820636904,0.22727704004344326,0.19151699763021043,stat3_gain,0.7845187755220225
