subject_id,regime,barrier,ecm_density,repair_rate,diffusion,decay,injury_amp,persistent_injury,recruitment_rate,nfkb_gain,stat3_gain,ifng_gain,tgfb_gain,exhaustion_gain,cytotoxic_gain,migration_gain
1,acute_resolving,0.17899193054974266,0.17861748621734577,0.06476347286911703,0.05073447217019246,0.03937384591765218,0.03602272322533829,0.0,0.06819096962294242,1.0277791935428948,0.9066030697561216,1.0627241206968032,1.1561011210702457,0.5640707537116763,1.0442500940898998,0.9849340879005202
2,acute_resolving,0.1380896346270129,0.15041372412796042,0.0741221830917002,0.10868176502684407,0.058024506089897426,0.04251644172244821,0.0,0.043866099064949364,1.0333221538288475,0.8900312441982605,0.7058485184081805,0.9838374665556283,0.6329423417665494,0.826234713715306,1.1330334393048807
3,acute_resolving,0.2127659152219918,0.2077207341372359,0.06469886153482737,0.08472220660813003,0.07059200744186342,0.019435198890377436,0.0,0.05560862290515159,0.8500645545002059,0.819971651213451,0.9096106864746938,1.0629538229144702,0.4809596534100453,1.1476619292788017,0.9819128400536588
4,acute_resolving,0.24786436516588808,0.2560483482817264,0.07381574134597478,0.08543689100186978,0.0702110445130424,0.042055328332336085,0.0004628413036177412,0.05782228911722886,0.9723687232828422,0.9596216682791341,1.0773948469649173,1.030299529201266,0.5787669283780567,1.068238465866502,1.181391274890444
5,acute_resolving,0.12141688532245443,0.12265077875948271,0.08101512903143182,0.06842100812293794,0.053252921815460826,0.03735443712524661,0.0,0.055909241385206705,0.9256601891434502,0.932572070718436,0.8822762975565566,1.0452721301139876,0.6513649409340376,1.0110053120666822,1.0196985924479
6,acute_resolving,0.22029395809274005,0.22009817688266087,0.08238925591154683,0.09383204214442761,0.05265705867498205,0.0314488254768834,0.004,0.056428065659612565,1.0739471139122079,0.8580447988469118,0.7525811168422414,0.9929330921273116,0.5806313636757013,0.8721954362903648,1.0494606426447595
7,acute_resolving,0.14528805104693393,0.1384109065567468,0.06675920215369377,0.10368070697223165,0.06331519503732039,0.035497179623374946,0.0,0.05460191284779041,0.8866022819404962,1.1245674123775773,0.9187389939211895,1.0629862761630833,0.5809768827886135,0.9755132912309801,1.108780267343769
8,acute_resolving,0.12373965502985429,0.11250838467457369,0.07223696016246121,0.065022880244755,0.06018488385334252,0.04991959543885415,0.0,0.06321527747412001,1.0025607283494695,0.8507681993927753,0.9942883676520878,0.9317304845047685,0.4902432010869469,0.9230791169466908,1.2376235887331277
9,acute_resolving,0.13846029573670035,0.14641672896062904,0.06174019277877891,0.08871362300937347,0.055557941158711766,0.02844722440810981,0.0007038207737995251,0.06826270974788014,1.1472324442094357,0.8663546620281094,0.9189799275365286,0.8451168813234569,0.7030160846217538,1.1907476703918884,1.143413734414693
10,acute_resolving,0.1723706762824233,0.18480742152687363,0.08008684273615509,0.09304574072944591,0.06655025202151879,0.040027227678826965,0.0012947278256365353,0.07115755376556038,0.9789389403651996,0.9814554519845904,0.910985612517212,1.1041984898369155,0.803938953186078,0.8628252261532157,1.0195959347473813
